Gene,GWAS Catalog,"HERMES
(HF)","CARDIoGRAMplusC4D
(CAD)","CARDIoGRAMplusC4D
(MI)","FinnGen
(HF)","FinnGen
(CAD)","FinnGen
(MI)",Total
APOE,4426,376,390,371,879,879,879,8200
B2M,0,221,229,203,633,633,633,2552
C1QA,3,348,367,348,836,836,836,3574
C1QB,17,320,320,306,816,816,816,3411
C1QC,7,341,353,335,827,827,827,3517
C1R,57,255,251,242,719,719,719,2962
C2,315,401,415,385,1059,1059,1059,4693
CAPG,33,418,428,393,976,976,976,4200
CCL2,50,312,328,303,805,805,805,3408
CCL3,12,316,397,320,793,793,793,3424
CCL7,19,287,300,288,755,755,755,3159
CD14,44,207,215,204,605,605,605,2485
CD163,131,379,370,346,875,875,875,3851
CFD,75,396,275,247,1280,1280,1280,4833
CFH,2018,448,537,454,1217,1217,1217,7108
CSF1,209,303,335,315,835,835,835,3667
CSF1R,70,491,496,480,1205,1205,1205,5152
CST3,66,362,382,355,874,874,874,3787
CTSA,2,295,320,297,827,827,827,3395
CTSC,48,517,836,794,1611,1611,1611,7028
CTSL,3,392,421,395,898,898,898,3905
CTSZ,56,279,295,281,821,821,821,3374
CXCL1,81,277,307,291,812,812,812,3392
CXCL2,101,86,92,88,491,491,491,1840
CXCL3,10,104,115,105,478,478,478,1768
FN1,118,583,575,541,1344,1344,1344,5849
GAA,42,568,558,536,1128,1128,1128,5088
GUSB,31,270,249,236,843,843,842,3314
HEXB,14,531,518,497,1301,1301,1301,5463
IFI30,43,298,301,288,741,741,741,3153
IL1RN,156,646,685,645,1252,1252,1252,5888
ITGAM,77,354,341,317,1034,1034,1034,4191
ITGB2,38,657,676,625,1568,1568,1568,6700
LBP,109,434,439,420,1047,1047,1047,4543
LCP1,32,563,577,556,1402,1402,1402,5934
LYZ,154,373,364,352,830,830,830,3733
MAN2B1,7,273,294,288,848,848,848,3406
MMP12,111,343,346,331,812,812,812,3567
MMP13,57,337,347,338,796,796,795,3466
MMP2,25,918,943,919,1976,1976,1976,8733
MMP9,64,301,342,324,768,768,768,3335
MSR1,128,2192,2406,2305,5610,5610,5610,23861
PF4,108,192,192,182,647,647,647,2615
SERPING1,93,247,264,251,736,736,736,3063
SPP1,56,404,404,381,819,819,819,3702
THBS1,337,290,290,278,736,736,736,3403
TIMP1,0,0,0,0,0,0,0,0
TIMP2,48,558,558,536,1474,1474,1474,6122
TNF,57,510,510,483,979,979,979,4497
TPP1,3,286,302,283,722,722,722,3040
VCAN,1316,641,679,647,1573,1573,1573,8002
VEGFA,1350,352,339,329,825,825,825,4845
Total,12427,21252,22273,21034,53738,53738,53736,238198
