input_gene_symbol;official_gene_symbol;ensembl_gene_id;lookup_status;species;chromosome;gene_start;gene_end;strand;strand_symbol;assembly_name;flanking_bp;region_start;region_end;upstream_start;upstream_end;downstream_start;downstream_end;biotype;object_type;source
APOE;APOE;ENSG00000130203;found;homo_sapiens;19;44903787;44909396;1;+;GRCh38;50000;44853787;44959396;44853787;44903786;44909397;44959396;protein_coding;Gene;Ensembl REST
B2M;B2M;ENSG00000166710;found;homo_sapiens;15;44711253;44718851;1;+;GRCh38;50000;44661253;44768851;44661253;44711252;44718852;44768851;protein_coding;Gene;Ensembl REST
C1QA;C1QA;ENSG00000173372;found;homo_sapiens;1;22635057;22640201;1;+;GRCh38;50000;22585057;22690201;22585057;22635056;22640202;22690201;protein_coding;Gene;Ensembl REST
C1QB;C1QB;ENSG00000173369;found;homo_sapiens;1;22652713;22661637;1;+;GRCh38;50000;22602713;22711637;22602713;22652712;22661638;22711637;protein_coding;Gene;Ensembl REST
C1QC;C1QC;ENSG00000159189;found;homo_sapiens;1;22642558;22648122;1;+;GRCh38;50000;22592558;22698122;22592558;22642557;22648123;22698122;protein_coding;Gene;Ensembl REST
C1R;C1R;ENSG00000159403;found;homo_sapiens;12;7080213;7092873;-1;-;GRCh38;50000;7030213;7142873;7092874;7142873;7030213;7080212;protein_coding;Gene;Ensembl REST
C2;C2;ENSG00000166278;found;homo_sapiens;6;31897785;31945677;1;+;GRCh38;50000;31847785;31995677;31847785;31897784;31945678;31995677;protein_coding;Gene;Ensembl REST
CAPG;CAPG;ENSG00000042493;found;homo_sapiens;2;85388144;85422017;-1;-;GRCh38;50000;85338144;85472017;85422018;85472017;85338144;85388143;protein_coding;Gene;Ensembl REST
CCL2;CCL2;ENSG00000108691;found;homo_sapiens;17;34255274;34257208;1;+;GRCh38;50000;34205274;34307208;34205274;34255273;34257209;34307208;protein_coding;Gene;Ensembl REST
CCL3;CCL3;ENSG00000277632;found;homo_sapiens;17;36088256;36090169;-1;-;GRCh38;50000;36038256;36140169;36090170;36140169;36038256;36088255;protein_coding;Gene;Ensembl REST
CCL7;CCL7;ENSG00000108688;found;homo_sapiens;17;34270221;34272242;1;+;GRCh38;50000;34220221;34322242;34220221;34270220;34272243;34322242;protein_coding;Gene;Ensembl REST
CD14;CD14;ENSG00000170458;found;homo_sapiens;5;140630402;140633711;-1;-;GRCh38;50000;140580402;140683711;140633712;140683711;140580402;140630401;protein_coding;Gene;Ensembl REST
CD163;CD163;ENSG00000177575;found;homo_sapiens;12;7469417;7503911;-1;-;GRCh38;50000;7419417;7553911;7503912;7553911;7419417;7469416;protein_coding;Gene;Ensembl REST
CFD;CFD;ENSG00000197766;found;homo_sapiens;19;859426;869492;1;+;GRCh38;50000;809426;919492;809426;859425;869493;919492;protein_coding;Gene;Ensembl REST
CFH;CFH;ENSG00000000971;found;homo_sapiens;1;196651754;196753075;1;+;GRCh38;50000;196601754;196803075;196601754;196651753;196753076;196803075;protein_coding;Gene;Ensembl REST
